rank,company,revenue ($ millions),profit ($ millions)
459,Cintas,6487.4,842.6
460,Advanced Micro Devices,6475,337
461,Hess,6466,-282
462,M&T Bank Corp.,6454.7,1918.1
463,ABM Industries,6442.2,97.8
464,Beacon Roofing Supply,6418.3,98.6
465,NCR,6405,-88
466,iHeartMedia,6325.8,-201.9
467,Franklin Resources,6319.1,764.4
468,Ameren,6291,815
469,Intercontinental Exchange,6276,1988
470,S&P Global,6258,1958
471,Post Holdings,6257.2,467.3
472,Analog Devices,6200.9,1495.4
473,Ralph Lauren,6182.3,162.8
474,L3Harris Technologies,6182,718
475,Booz Allen Hamilton,6171.9,305.1
476,Polaris Industries,6166,335.3
477,Clorox,6124,823
478,Realogy Holdings,6079,137
479,HD Supply Holdings,6047,394
480,Graphic Packaging Holding,6023,221.1
481,Old Republic International,6021.8,370.5
482,Intuit,5964,1211
483,NetApp,5911,76
484,Tapestry,5880,397.5
485,ON Semiconductor,5878.3,627.4
486,Ingredion,5841,443
487,Zoetis,5825,1428
488,Fiserv,5823,1187
489,TreeHouse Foods,5812.1,-61.4
490,Robert Half International,5800.3,434.3
491,First American Financial,5747.8,474.5
492,Harley-Davidson,5716.9,531.5
493,Windstream Holdings,5713.1,-723
494,Yum Brands,5688,1542
495,Williams-Sonoma,5671.6,333.7
496,Simon Property Group,5657.9,2440.1
497,Navient,5610,395
498,Western Union,5589.9,851.9
499,Peabody Energy,5581.8,646.9
500,Levi Strauss,5575.4,283.1
